Male,Female,age_15,age_16,age_17,age_18,address_rural,have_failures,schoolsup,famsup,paid,activities,internet,low_absences,"G[5,10)","G[10,15)","G[15,20)"
0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1
0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0
1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0
0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0
1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0
1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0
0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0
1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1
0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0
1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0
1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0
0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0
0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0
0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1
1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0
1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0
0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0
0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0
0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0
