famsize,Medu,Mjob,G3,,Nominal,Mjob,,,,,,,,,,,
GT3,3,services,5,,Ordinal,Medu,,,,,,,,,,,
GT3,1,at_home,6,,Interval,famsize,,,,,,,,,,,
GT3,2,other,6,,Ratio,G3,,,,,,,,,,,
GT3,4,at_home,6,,,,,,,,,,,,,,
GT3,4,other,6,,,,,,,,,,,,,,
LE3,4,other,6,,"preprocessing the data into table below, counting each attribute",,,,,,,,,,,,
GT3,4,services,7,,,,,,,,,,,,,,
GT3,2,services,8,,Mjob,Number,Occupied,,Medu,Number,,famsize,Number,,,G3,
GT3,2,services,8,,at_home,4,8%,,0,0,,GT3,34,,,Total Mark,604
GT3,4,teacher,9,,health,8,16%,,1,2,,LE3,16,,,Number,50
LE3,2,other,9,,other,16,32%,,2,12,,Total,50,,,,
GT3,3,other,10,,services,13,26%,,3,10,,,,,,Mean,12.08
GT3,3,other,10,,teacher,9,18%,,4,26,,Mean,can not determine,,,Mode,11
LE3,1,at_home,10,,Total,50,,,Total,50,,Mode,GT3,,,,
LE3,4,health,10,,,,,,,,,,,,,,
GT3,2,other,11,,Mean,can not determine,,,Mean,3.2,,,,,,,
GT3,2,services,11,,Mode,other,,,Mode,4,,,,,,,
GT3,3,services,11,,,,,,,,,,,,,,
GT3,4,teacher,11,,"For mother's job, other has more number, so the mode of Mjob is other.",,,,,,,,,,,,
GT3,4,teacher,11,,"Based on the table we can easily get the mode is 4, which is post-secondary education",,,,,,,,,,,,
LE3,2,other,11,,"For familiy size, more family has more than 3 members, so the mode is GT3, but we can not determine the mean.",,,,,,,,,,,,
LE3,2,other,11,,"For G3, we can calculate the total mark and know the total number of studnts, therefore we can easily calculate the mean of student mark, and for the mode of G3, we need sort the G3 first and then we can found that the data set contain more number of 11.",,,,,,,,,,,,
LE3,3,other,11,,,,,,,,,,,,,,
LE3,3,services,11,,,,,,,,,,,,,,
GT3,2,services,12,,,,,,,,,,,,,,
GT3,4,health,12,,,,,,,,,,,,,,
LE3,2,other,12,,,,,,,,,,,,,,
LE3,3,other,12,,,,,,,,,,,,,,
LE3,4,teacher,12,,,,,,,,,,,,,,
GT3,2,at_home,13,,,,,,,,,,,,,,
GT3,4,health,14,,,,,,,,,,,,,,
GT3,4,services,14,,,,,,,,,,,,,,
GT3,4,teacher,14,,,,,,,,,,,,,,
LE3,4,health,14,,,,,,,,,,,,,,
GT3,3,other,15,,,,,,,,,,,,,,
GT3,3,other,15,,,,,,,,,,,,,,
GT3,4,health,15,,,,,,,,,,,,,,
GT3,4,health,15,,,,,,,,,,,,,,
GT3,4,health,15,,,,,,,,,,,,,,
GT3,4,other,15,,,,,,,,,,,,,,
GT3,4,teacher,15,,,,,,,,,,,,,,
LE3,4,services,15,,,,,,,,,,,,,,
GT3,2,other,16,,,,,,,,,,,,,,
GT3,4,teacher,16,,,,,,,,,,,,,,
LE3,4,teacher,16,,,,,,,,,,,,,,
GT3,4,services,17,,,,,,,,,,,,,,
GT3,4,services,18,,,,,,,,,,,,,,
LE3,4,teacher,18,,,,,,,,,,,,,,
LE3,3,services,19,,,,,,,,,,,,,,
GT3,4,health,20,,,,,,,,,,,,,,
