,,,,,,,,,After Standarization:,,,,,,,
,Medu,Fedu,failures,famrel,G1,G2,G3,,Medu,Fedu,failures,famrel,G1,G2,G3,
,4,4,0,4,5,6,6,,0.85,1.13,-0.33,-0.04,-1.73,-1.67,-1.65,
,1,1,0,5,5,5,6,,-2.35,-2.01,-0.33,1.02,-1.73,-1.95,-1.65,
,1,1,3,4,7,8,10,,-2.35,-2.01,4.14,-0.04,-1.18,-1.11,-0.57,
,4,2,0,3,15,14,15,,0.85,-0.96,-0.33,-1.11,0.99,0.58,0.79,
,3,3,0,4,6,10,10,,-0.21,0.08,-0.33,-0.04,-1.46,-0.55,-0.57,
,4,3,0,5,15,15,15,,0.85,0.08,-0.33,1.02,0.99,0.86,0.79,
,2,2,0,4,12,12,11,,-1.28,-0.96,-0.33,-0.04,0.17,0.02,-0.29,
,4,4,0,4,6,5,6,,0.85,1.13,-0.33,-0.04,-1.46,-1.95,-1.65,
,3,2,0,4,16,18,19,,-0.21,-0.96,-0.33,-0.04,1.26,1.7,1.88,
,3,4,0,5,14,15,15,,-0.21,1.13,-0.33,1.02,0.72,0.86,0.79,
,4,4,0,3,10,8,9,,0.85,1.13,-0.33,-1.11,-0.37,-1.11,-0.84,
,2,1,0,5,10,12,12,,-1.28,-2.01,-0.33,1.02,-0.37,0.02,-0.02,
,4,4,0,4,14,14,14,,0.85,1.13,-0.33,-0.04,0.72,0.58,0.52,
,4,3,0,5,10,10,11,,0.85,0.08,-0.33,1.02,-0.37,-0.55,-0.29,
,2,2,0,4,14,16,16,,-1.28,-0.96,-0.33,-0.04,0.72,1.14,1.07,
,4,4,0,4,14,14,14,,0.85,1.13,-0.33,-0.04,0.72,0.58,0.52,
,4,4,0,3,13,14,14,,0.85,1.13,-0.33,-1.11,0.45,0.58,0.52,
,3,3,0,5,8,10,10,,-0.21,0.08,-0.33,1.02,-0.91,-0.55,-0.57,
,3,2,3,5,6,5,5,,-0.21,-0.96,4.14,1.02,-1.46,-1.95,-1.93,
,4,3,0,3,8,10,10,,0.85,0.08,-0.33,-1.11,-0.91,-0.55,-0.57,
,4,3,0,4,13,14,15,,0.85,0.08,-0.33,-0.04,0.45,0.58,0.79,
,4,4,0,5,12,15,15,,0.85,1.13,-0.33,1.02,0.17,0.86,0.79,
,4,2,0,4,15,15,16,,0.85,-0.96,-0.33,-0.04,0.99,0.86,1.07,
,2,2,0,5,13,13,12,,-1.28,-0.96,-0.33,1.02,0.45,0.3,-0.02,
,2,4,0,4,10,9,8,,-1.28,1.13,-0.33,-0.04,-0.37,-0.83,-1.11,
,2,2,2,1,6,9,8,,-1.28,-0.96,2.65,-3.24,-1.46,-0.83,-1.11,
,2,2,0,4,12,12,11,,-1.28,-0.96,-0.33,-0.04,0.17,0.02,-0.29,
,4,2,0,2,15,16,15,,0.85,-0.96,-0.33,-2.18,0.99,1.14,0.79,
,3,4,0,5,11,11,11,,-0.21,1.13,-0.33,1.02,-0.1,-0.26,-0.29,
,4,4,0,4,10,12,11,,0.85,1.13,-0.33,-0.04,-0.37,0.02,-0.29,
,4,4,0,5,9,11,12,,0.85,1.13,-0.33,1.02,-0.64,-0.26,-0.02,
,4,4,0,4,17,16,17,,0.85,1.13,-0.33,-0.04,1.53,1.14,1.34,
,4,3,0,4,17,16,16,,0.85,0.08,-0.33,-0.04,1.53,1.14,1.07,
,3,3,0,5,8,10,12,,-0.21,0.08,-0.33,1.02,-0.91,-0.55,-0.02,
,3,2,0,5,12,14,15,,-0.21,-0.96,-0.33,1.02,0.17,0.58,0.79,
,2,3,0,3,8,7,6,,-1.28,0.08,-0.33,-1.11,-0.91,-1.39,-1.65,
,4,3,0,5,15,16,18,,0.85,0.08,-0.33,1.02,0.99,1.14,1.61,
,4,4,0,2,15,16,15,,0.85,1.13,-0.33,-2.18,0.99,1.14,0.79,
,3,4,0,4,12,12,11,,-0.21,1.13,-0.33,-0.04,0.17,0.02,-0.29,
,2,2,0,4,14,13,13,,-1.28,-0.96,-0.33,-0.04,0.72,0.3,0.25,
,2,2,1,3,7,10,11,,-1.28,-0.96,1.16,-1.11,-1.18,-0.55,-0.29,
,4,4,0,5,12,12,12,,0.85,1.13,-0.33,1.02,0.17,0.02,-0.02,
,4,4,0,4,19,18,18,,0.85,1.13,-0.33,-0.04,2.08,1.7,1.61,
,2,2,0,5,8,8,11,,-1.28,-0.96,-0.33,1.02,-0.91,-1.11,-0.29,
,2,2,1,4,10,10,9,,-1.28,-0.96,1.16,-0.04,-0.37,-0.55,-0.84,
,4,3,0,5,8,8,6,,0.85,0.08,-0.33,1.02,-0.91,-1.11,-1.65,
,3,3,0,2,11,12,11,,-0.21,0.08,-0.33,-2.18,-0.1,0.02,-0.29,
,4,3,0,4,19,19,20,,0.85,0.08,-0.33,-0.04,2.08,1.98,2.15,
,4,2,0,4,15,15,14,,0.85,-0.96,-0.33,-0.04,0.99,0.86,0.52,
,4,4,1,4,7,7,7,,0.85,1.13,1.16,-0.04,-1.18,-1.39,-1.38,
,,,,,,,,,,,,,,,,
Mean,3.2,2.92,0.22,4.04,11.36,11.94,12.08,,Convariance,,,,,,,
Stdev,0.94,0.96,0.67,0.94,3.68,3.56,3.68,,,Medu,Fedu,failures,famrel,G1,G2,G3
,,,,,,,,,Medu,1.00,,,,,,
,,,,,,,,,Fedu,0.64,1.00,,,,,
,,,,,,,,,failures,-0.36,-0.35,1.00,,,,
,,,,,,,,,famrel,-0.03,0.00,-0.14,1.00,,,
,,,,,,,,,G1,0.38,0.12,-0.40,-0.04,1.00,,
,,,,,,,,,G2,0.36,0.08,-0.40,-0.07,0.94,1.00,
,,,,,,,,,G3,0.35,0.04,-0.36,0.02,0.90,0.96,1.00
