,age,studytime,freetime,absences,G3,mahalanobis
0,18,2,3,6,6,14.249919039937167
1,17,2,3,4,6,6.836574975566396
2,15,2,3,10,10,3.435214695444479
3,15,3,2,2,15,4.181994679439242
4,16,2,3,4,10,0.8425164682693177
5,16,2,4,10,15,3.5410031570031446
6,16,2,4,0,11,2.472898556013152
7,17,2,1,6,6,10.005921109537619
8,15,2,2,0,19,6.240765799832377
9,15,2,5,0,15,3.4191349748816546
10,15,2,3,0,9,3.0712606302470378
11,15,3,2,4,12,4.61761231008969
12,15,1,3,2,14,3.1928619139642063
13,15,2,4,2,11,1.654914551104346
14,15,3,5,0,16,6.02887873070161
15,16,1,4,4,14,4.0969955573154975
16,16,3,2,6,14,4.004450745645061
17,16,2,3,4,10,0.8425164682693177
18,17,1,5,16,5,11.966450566831833
19,16,1,1,4,10,8.282013079159642
20,15,2,4,0,15,1.372550052429209
21,15,1,4,0,15,3.6490064860840388
22,16,2,5,2,16,5.310093718159347
23,16,2,4,0,12,2.3445936210517795
24,15,3,3,2,8,7.205187331872684
25,16,1,2,14,8,5.916361154375609
26,15,1,2,2,11,4.825268814558595
27,15,1,2,4,15,5.9446036671009885
28,16,2,3,4,11,0.6698629380542157
29,16,2,4,16,11,5.950329974825179
30,15,2,4,0,12,1.5512890767334895
31,15,2,3,0,17,2.2980853663777645
32,15,2,5,0,16,3.6933726182749793
33,15,2,3,0,12,1.2975694815667995
34,16,1,4,0,15,5.961609598123117
35,15,1,5,0,6,9.160596723009887
36,15,3,4,2,18,4.322310905387671
37,16,3,4,7,15,4.293661174765274
38,15,3,3,2,11,4.135874888148793
39,15,1,3,8,13,3.8078579513896758
40,16,2,3,25,11,16.545426865528576
41,15,1,4,8,12,3.7063264109738236
42,15,2,3,2,18,2.9700538885795438
43,15,1,4,0,11,3.163559798994046
44,16,2,3,14,9,3.373008467383019
45,15,2,2,8,6,7.086651479756273
46,16,2,3,12,11,2.0456286089389044
47,16,4,2,4,20,13.345027149604842
48,15,2,3,2,14,0.7993701750597896
49,15,2,4,2,7,5.270963603639373
