age,studytime,freetime,absences,G3
18,2,3,6,6
17,2,3,4,6
15,2,3,10,10
15,3,2,2,15
16,2,3,4,10
16,2,4,10,15
16,2,4,0,11
17,2,1,6,6
15,2,2,0,19
15,2,5,0,15
15,2,3,0,9
15,3,2,4,12
15,1,3,2,14
15,2,4,2,11
15,3,5,0,16
16,1,4,4,14
16,3,2,6,14
16,2,3,4,10
17,1,5,16,5
16,1,1,4,10
15,2,4,0,15
15,1,4,0,15
16,2,5,2,16
16,2,4,0,12
15,3,3,2,8
16,1,2,14,8
15,1,2,2,11
15,1,2,4,15
16,2,3,4,11
16,2,4,16,11
15,2,4,0,12
15,2,3,0,17
15,2,5,0,16
15,2,3,0,12
16,1,4,0,15
15,1,5,0,6
15,3,4,2,18
16,3,4,7,15
15,3,3,2,11
15,1,3,8,13
16,2,3,25,11
15,1,4,8,12
15,2,3,2,18
15,1,4,0,11
16,2,3,14,9
15,2,2,8,6
16,2,3,12,11
16,4,2,4,20
15,2,3,2,14
15,2,4,2,7
