,studytime,freetime,rating
0,2,3,Failing
1,2,3,Failing
2,2,3,Passing
3,3,2,Strongly_Passing
4,2,3,Passing
5,2,4,Strongly_Passing
6,2,4,Passing
7,2,1,Failing
8,2,2,Strongly_Passing
9,2,5,Strongly_Passing
10,2,3,Failing
11,3,2,Passing
12,1,3,Passing
13,2,4,Passing
14,3,5,Strongly_Passing
15,1,4,Passing
16,3,2,Passing
17,2,3,Passing
18,1,5,Failing
19,1,1,Passing
20,2,4,Strongly_Passing
21,1,4,Strongly_Passing
22,2,5,Strongly_Passing
23,2,4,Passing
24,3,3,Failing
25,1,2,Failing
26,1,2,Passing
27,1,2,Strongly_Passing
28,2,3,Passing
29,2,4,Passing
30,2,4,Passing
31,2,3,Strongly_Passing
32,2,5,Strongly_Passing
33,2,3,Passing
34,1,4,Strongly_Passing
35,1,5,Failing
36,3,4,Strongly_Passing
37,3,4,Strongly_Passing
38,3,3,Passing
39,1,3,Passing
40,2,3,Passing
41,1,4,Passing
42,2,3,Strongly_Passing
43,1,4,Passing
44,2,3,Failing
45,2,2,Failing
46,2,3,Passing
47,4,2,Strongly_Passing
48,2,3,Passing
49,2,4,Failing
