,sex,age,address,traveltime,studytime,failures,romantic,freetime,goout,Dalc,Walc,absences,G1,G2,rating_G3,kmclass
0,F,18,U,2,2,0,no,3,4,1,1,6,5,6,0,3
1,F,17,U,1,2,0,no,3,3,1,1,4,5,5,0,2
2,F,15,U,1,2,3,no,3,2,2,3,10,7,8,1,0
3,F,15,U,1,3,0,yes,2,2,1,1,2,15,14,2,2
4,F,16,U,1,2,0,no,3,2,1,2,4,6,10,1,2
5,M,16,U,1,2,0,no,4,2,1,2,10,15,15,2,2
6,M,16,U,1,2,0,no,4,4,1,1,0,12,12,1,2
7,F,17,U,2,2,0,no,1,4,1,1,6,6,5,0,3
8,M,15,U,1,2,0,no,2,2,1,1,0,16,18,2,2
9,M,15,U,1,2,0,no,5,1,1,1,0,14,15,2,1
10,F,15,U,1,2,0,no,3,3,1,2,0,10,8,0,2
11,F,15,U,3,3,0,no,2,2,1,1,4,10,12,1,3
12,M,15,U,1,1,0,no,3,3,1,3,2,14,14,1,0
13,M,15,U,2,2,0,no,4,3,1,2,2,10,10,1,3
14,M,15,U,1,3,0,yes,5,2,1,1,0,14,16,2,1
15,F,16,U,1,1,0,no,4,4,1,2,4,14,14,1,0
16,F,16,U,1,3,0,no,2,3,1,2,6,13,14,1,2
17,F,16,U,3,2,0,no,3,2,1,1,4,8,10,1,3
18,M,17,U,1,1,3,no,5,5,2,4,16,6,5,0,0
19,M,16,U,1,1,0,no,1,3,1,3,4,8,10,1,0
20,M,15,U,1,2,0,no,4,1,1,1,0,13,14,2,1
21,M,15,U,1,1,0,no,4,2,1,1,0,12,15,2,1
22,M,16,U,1,2,0,no,5,1,1,3,2,15,15,2,1
23,M,16,U,2,2,0,no,4,4,2,4,0,13,13,1,0
24,F,15,R,1,3,0,no,3,2,1,1,2,10,9,0,2
25,F,16,U,1,1,2,no,2,2,1,3,14,6,9,0,0
26,M,15,U,1,1,0,no,2,2,1,2,2,12,12,1,2
27,M,15,U,1,1,0,no,2,4,2,4,4,15,16,2,0
28,M,16,U,1,2,0,no,3,3,1,1,4,11,11,1,2
29,M,16,U,1,2,0,yes,4,5,5,5,16,10,12,1,0
30,M,15,U,1,2,0,no,4,2,3,4,0,9,11,1,0
31,M,15,U,2,2,0,no,3,1,1,1,0,17,16,2,1
32,M,15,R,1,2,0,yes,5,2,1,1,0,17,16,2,1
33,M,15,U,1,2,0,no,3,2,1,1,0,8,10,1,2
34,M,16,U,1,1,0,no,4,3,1,1,0,12,14,2,1
35,F,15,U,2,1,0,no,5,1,1,1,0,8,7,0,1
36,M,15,U,1,3,0,no,4,3,1,1,2,15,16,2,2
37,M,16,R,2,3,0,yes,4,3,1,1,7,15,16,2,3
38,F,15,R,1,3,0,no,3,2,1,1,2,12,12,1,2
39,F,15,R,1,1,0,no,3,1,1,1,8,14,13,1,1
40,F,16,U,2,2,1,yes,3,3,1,2,25,7,10,1,3
41,M,15,U,1,1,0,yes,4,3,2,4,8,12,12,1,0
42,M,15,U,1,2,0,no,3,3,1,1,2,19,18,2,2
43,M,15,U,1,1,0,no,4,1,1,1,0,8,8,1,1
44,F,16,U,2,2,1,no,3,3,2,2,14,10,10,0,3
45,F,15,U,1,2,0,yes,2,2,1,1,8,8,8,0,2
46,F,16,U,1,2,0,no,3,5,1,4,12,11,12,1,0
47,M,16,U,1,4,0,no,2,2,1,1,4,19,19,2,2
48,M,15,U,1,2,0,no,3,3,2,2,2,15,15,1,2
49,F,15,U,1,2,1,no,4,4,1,1,2,7,7,0,2
