,traveltime,studytime,freetime,goout,Dalc,Walc,absences
0,0.5,0.3333333333333333,0.5,0.75,0.0,0.0,0.24
1,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.16
2,0.0,0.3333333333333333,0.5,0.25,0.25,0.5,0.4
3,0.0,0.6666666666666667,0.25,0.25,0.0,0.0,0.08
4,0.0,0.3333333333333333,0.5,0.25,0.0,0.25,0.16
5,0.0,0.3333333333333333,0.75,0.25,0.0,0.25,0.4
6,0.0,0.3333333333333333,0.75,0.75,0.0,0.0,0.0
7,0.5,0.3333333333333333,0.0,0.75,0.0,0.0,0.24
8,0.0,0.3333333333333333,0.25,0.25,0.0,0.0,0.0
9,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
10,0.0,0.3333333333333333,0.5,0.5,0.0,0.25,0.0
11,1.0,0.6666666666666667,0.25,0.25,0.0,0.0,0.16
12,0.0,0.0,0.5,0.5,0.0,0.5,0.08
13,0.5,0.3333333333333333,0.75,0.5,0.0,0.25,0.08
14,0.0,0.6666666666666667,1.0,0.25,0.0,0.0,0.0
15,0.0,0.0,0.75,0.75,0.0,0.25,0.16
16,0.0,0.6666666666666667,0.25,0.5,0.0,0.25,0.24
17,1.0,0.3333333333333333,0.5,0.25,0.0,0.0,0.16
18,0.0,0.0,1.0,1.0,0.25,0.75,0.64
19,0.0,0.0,0.0,0.5,0.0,0.5,0.16
20,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0
21,0.0,0.0,0.75,0.25,0.0,0.0,0.0
22,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.08
23,0.5,0.3333333333333333,0.75,0.75,0.25,0.75,0.0
24,0.0,0.6666666666666667,0.5,0.25,0.0,0.0,0.08
25,0.0,0.0,0.25,0.25,0.0,0.5,0.56
26,0.0,0.0,0.25,0.25,0.0,0.25,0.08
27,0.0,0.0,0.25,0.75,0.25,0.75,0.16
28,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.16
29,0.0,0.3333333333333333,0.75,1.0,1.0,1.0,0.64
30,0.0,0.3333333333333333,0.75,0.25,0.5,0.75,0.0
31,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
32,0.0,0.3333333333333333,1.0,0.25,0.0,0.0,0.0
33,0.0,0.3333333333333333,0.5,0.25,0.0,0.0,0.0
34,0.0,0.0,0.75,0.5,0.0,0.0,0.0
35,0.5,0.0,1.0,0.0,0.0,0.0,0.0
36,0.0,0.6666666666666667,0.75,0.5,0.0,0.0,0.08
37,0.5,0.6666666666666667,0.75,0.5,0.0,0.0,0.28
38,0.0,0.6666666666666667,0.5,0.25,0.0,0.0,0.08
39,0.0,0.0,0.5,0.0,0.0,0.0,0.32
40,0.5,0.3333333333333333,0.5,0.5,0.0,0.25,1.0
41,0.0,0.0,0.75,0.5,0.25,0.75,0.32
42,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.08
43,0.0,0.0,0.75,0.0,0.0,0.0,0.0
44,0.5,0.3333333333333333,0.5,0.5,0.25,0.25,0.56
45,0.0,0.3333333333333333,0.25,0.25,0.0,0.0,0.32
46,0.0,0.3333333333333333,0.5,1.0,0.0,0.75,0.48
47,0.0,1.0,0.25,0.25,0.0,0.0,0.16
48,0.0,0.3333333333333333,0.5,0.5,0.25,0.25,0.08
49,0.0,0.3333333333333333,0.75,0.75,0.0,0.0,0.08
