,traveltime,studytime,freetime,goout,Dalc,Walc,absences,rating_G3,run-1 result,Actual,predict,0 = No,"1,2 = Yes",,,,ROC Curve,,ID,Actual,PASS,Y(sum),N(sum),sen,1-spec
0,2,2,3,4,1,1,6,0,0,No,No,Accuracy,81.25%,,,,,,2,,Yes,1,0,0.1111,0.00000
1,1,2,3,3,1,1,4,0,0,No,No,,,predict,predict,,,,4,,Yes,2,0,0.2222,0.00000
2,1,2,3,2,2,3,10,1,1,Yes,Yes,,,Yes,No,,,,5,,Yes,3,0,0.3333,0.00000
3,1,3,2,2,1,1,2,2,0,Yes,No,Actual,Yes,9,1,,,,6,,Yes,4,0,0.4444,0.00000
4,1,2,3,2,1,2,4,1,1,Yes,Yes,Actual,No,2,4,,,,7,,No,4,1,0.4444,0.50000
5,1,2,4,2,1,2,10,2,1,Yes,Yes,,,,,,,,9,,Yes,5,1,0.5556,0.50000
6,1,2,4,4,1,1,0,1,2,Yes,Yes,,,,,,,,10,,No,5,2,0.5556,1.00000
7,2,2,1,4,1,1,6,0,1,No,Yes,,,,,,,,11,,Yes,6,2,0.6667,1.00000
8,1,2,2,2,1,1,0,2,0,No,No,,,,,,,,12,,Yes,7,2,0.7778,1.00000
9,1,2,5,1,1,1,0,2,2,Yes,Yes,,,,,,,,13,,Yes,8,2,0.8889,1.00000
10,1,2,3,3,1,2,0,0,1,No,Yes,,,,,,,,15,,Yes,9,2,1.0000,1.00000
11,3,3,2,2,1,1,4,1,2,Yes,Yes,,,,,,,,,,,,,,
12,1,1,3,3,1,3,2,1,1,Yes,Yes,,,,,,,,,,,,,,
13,2,2,4,3,1,2,2,1,1,Yes,Yes,,,,,,,,,,,,,,
14,1,3,5,2,1,1,0,2,0,No,No,,,,,,,,,,,,,,
15,1,1,4,4,1,2,4,1,1,Yes,Yes,,,,,,,,,,,,,,
16,1,3,2,3,1,2,6,1,2,Yes,Yes,,,,,,,,,,,,,,
17,3,2,3,2,1,1,4,1,1,Yes,Yes,,,,,,,,,,,,,,
18,1,1,5,5,2,4,16,0,-,No,N,,,,,,,,,,,,,,
19,1,1,1,3,1,3,4,1,-,Yes,N,,,,,,,,,,,,,,
20,1,2,4,1,1,1,0,2,2,Yes,Yes,,,,,,,,,,,,,,
21,1,1,4,2,1,1,0,2,2,Yes,Yes,,,,,,,,,,,,,,
22,1,2,5,1,1,3,2,2,-,Yes,N,Accuracy,63.64%,predict,predict,,,,,,,,,,
23,2,2,4,4,2,4,0,1,1,Yes,Yes,,,Yes,No,,,,,,,,,,
24,1,3,3,2,1,1,2,0,2,No,Yes,Actual,Yes,7,2,,,,,,,,,,
25,1,1,2,2,1,3,14,0,1,No,Yes,Actual,No,2,0,,,,,,,,,,
26,1,1,2,2,1,2,2,1,2,Yes,Yes,,,,,,,,,,,,,,
27,1,1,2,4,2,4,4,2,1,Yes,Yes,,,,,,,,,,,,,,
28,1,2,3,3,1,1,4,1,0,Yes,No,,,,,,,,,,,,,,
29,1,2,4,5,5,5,16,1,-,Yes,N,,,,,,,,,,,,,,
30,1,2,4,2,3,4,0,1,-,Yes,N,,,,,,,,,,,,,,
31,2,2,3,1,1,1,0,2,0,Yes,No,,,,,,,,,,,,,,
32,1,2,5,2,1,1,0,2,2,Yes,Yes,,,,,,,,,,,,,,
33,1,2,3,2,1,1,0,1,2,Yes,Yes,,,,,,,,,,,,,,
34,1,1,4,3,1,1,0,2,1,Yes,Yes,,,,,,,,,,,,,,
35,2,1,5,1,1,1,0,0,2,No,Yes,,,,,,,,,,,,,,
36,1,3,4,3,1,1,2,2,1,Yes,Yes,,,,,,,,,,,,,,
37,2,3,4,3,1,1,7,2,1,Yes,Yes,,,,,,,,,,,,,,
38,1,3,3,2,1,1,2,1,2,Yes,Yes,Accuracy,73.33%,predict,predict,,,,,,,,,,
39,1,1,3,1,1,1,8,1,2,Yes,Yes,,,Yes,No,,,,,,,,,,
40,2,2,3,3,1,2,25,1,0,Yes,No,Actual,Yes,10,2,,,,,,,,,,
41,1,1,4,3,2,4,8,1,1,Yes,Yes,Actual,No,2,1,,,,,,,,,,
42,1,2,3,3,1,1,2,2,1,Yes,Yes,,,,,,,,,,,,,,
43,1,1,4,1,1,1,0,1,2,Yes,Yes,,,,,,,,,,,,,,
44,2,2,3,3,2,2,14,0,0,No,No,,,,,,,,,,,,,,
45,1,2,2,2,1,1,8,0,2,No,Yes,,,,,,,,,,,,,,
46,1,2,3,5,1,4,12,1,0,Yes,No,,,,,,,,,,,,,,
47,1,4,2,2,1,1,4,2,-,Yes,N,,,,,,,,,,,,,,
48,1,2,3,3,2,2,2,1,,,,,,,,,,,,,,,,,
49,1,2,4,4,1,1,2,0,,,,,,,,,,,,,,,,,
