,traveltime,studytime,freetime,goout,Dalc,Walc,absences,rating_G3,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
35,2,1,5,1,1,1,0,0,,,,2,2,3,4,1,1,6,,
25,1,1,2,2,1,3,14,0,,0,0.21,0.29,0.43,0.29,0.14,0.71,0.57,0.056694536,,2.42875E-05
45,1,2,2,2,1,1,8,0,,1,0.47,0.13,0.56,0.50,0.06,0.69,0.38,0.058028757,,1.545E-05
24,1,3,3,2,1,1,2,0,,2,0.32,0.18,0.45,0.18,0.09,0.91,0.82,0.035669099,,1.15973E-05
44,2,2,3,3,2,2,14,0,,,,,,,,,,,,
49,1,2,4,4,1,1,2,0,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
18,1,1,5,5,2,4,16,0,,,,1,2,3,3,1,1,4,,
39,1,1,3,1,1,1,8,1,,0,0.21,0.71,0.43,0.29,0.14,0.71,0.57,0.049666213,,5.32E-05
43,1,1,4,1,1,1,0,1,,1,0.47,0.81,0.56,0.50,0.38,0.69,0.38,0.056066136,,5.82E-04
26,1,1,2,2,1,2,2,1,,2,0.32,0.82,0.45,0.18,0.36,0.91,0.82,0.114740104,,6.72E-04
33,1,2,3,2,1,1,0,1,,,,,,,,,,,,
17,3,2,3,2,1,1,4,1,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
38,1,3,3,2,1,1,2,1,,,,1,2,3,2,2,3,10,,
30,1,2,4,2,3,4,0,1,,0,0.21,0.71,0.43,0.29,0.43,0.29,0.14,0.056694536,,1.82E-05
19,1,1,1,3,1,3,4,1,,1,0.47,0.81,0.56,0.50,0.31,0.19,0.06,0.04821508,,1.90E-05
16,1,3,2,3,1,2,6,1,,2,0.32,0.82,0.45,0.18,0.27,0.09,0.09,0.000356819,,1.74E-08
28,1,2,3,3,1,1,4,1,,,,,,,,,,,,
48,1,2,3,3,2,2,2,1,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
40,2,2,3,3,1,2,25,1,,,,1,3,2,2,1,1,2,,
41,1,1,4,3,2,4,8,1,,0,0.21,0.71,0.14,0.29,0.43,0.29,0.14,0.03983463,,4.27E-06
23,2,2,4,4,2,4,0,1,,1,0.47,0.81,0.13,0.13,0.31,0.19,0.06,0.04977097,,1.09E-06
46,1,2,3,5,1,4,12,1,,2,0.32,0.82,0.18,0.18,0.27,0.09,0.09,0.173302862,,3.38E-06
29,1,2,4,5,5,5,16,1,,,,,,,,,,,,
31,2,2,3,1,1,1,0,2,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
20,1,2,4,1,1,1,0,2,,,,1,2,3,2,1,2,4,,
22,1,2,5,1,1,3,2,2,,0,0.21,0.71,0.43,0.29,0.43,0.29,0.14,0.03983463,,1.28E-05
47,1,4,2,2,1,1,4,2,,1,0.47,0.81,0.56,0.50,0.31,0.19,0.25,0.04977097,,7.83E-05
21,1,1,4,2,1,1,0,2,,2,0.32,0.82,0.45,0.18,0.27,0.09,0.00,0.173302862,,0.00E+00
32,1,2,5,2,1,1,0,2,,,,,,,,,,,,
42,1,2,3,3,1,1,2,2,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
34,1,1,4,3,1,1,0,2,,,,1,2,4,2,1,2,10,,
36,1,3,4,3,1,1,2,2,,0,0.21,0.71,0.43,0.14,0.43,0.29,0.14,0.056694536,,9.11E-06
37,2,3,4,3,1,1,7,2,,1,0.47,0.81,0.56,0.31,0.31,0.19,0.25,0.04821508,,4.74E-05
27,1,1,2,4,2,4,4,2,,2,0.32,0.82,0.45,0.45,0.27,0.09,0.00,0.000356819,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,2,4,4,1,1,0,,
,,,,,,,,,,0,0.21,0.71,0.43,0.14,0.14,0.29,0.14,0.02925098,,1.57E-06
,,,,,,,,,,1,0.47,0.81,0.56,0.31,0.06,0.19,0.06,0.040594733,,2.00E-06
,,,,,,,,,,2,0.32,0.82,0.45,0.45,0.09,0.09,0.09,0.122903323,,5.00E-06
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,2,2,1,4,1,1,6,,
,,,,,,,,,,0,0.21,0.29,0.43,0.00,0.14,0.29,0.14,0.056694536,,0.00E+00
,,,,,,,,,,1,0.47,0.13,0.56,0.06,0.06,0.19,0.06,0.058028757,,8.78E-08
,,,,,,,,,,2,0.32,0.18,0.45,0.00,0.09,0.09,0.09,0.035669099,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,2,2,2,1,1,0,,
,,,,,,,,,,0,0.21,0.71,0.43,0.29,0.43,0.29,0.14,0.02925098,,9.40E-06
,,,,,,,,,,1,0.47,0.81,0.56,0.13,0.31,0.19,0.06,0.040594733,,3.99E-06
,,,,,,,,,,2,0.32,0.82,0.45,0.18,0.27,0.09,0.09,0.122903323,,5.99E-06
,,,,,,,,,,,,,,,,,,,,
