traveltime,studytime,freetime,goout,Dalc,Walc,absences,rating_G3,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
2,2,3,4,1,1,6,0,,,,,1,2,5,2,1,1,0,,
1,2,3,3,1,1,4,0,,8,0,0.24,0.75,0.63,0.13,0.25,0.88,0.63,0.038488891,,7.25E-05
2,2,1,4,1,1,6,0,,16,1,0.47,0.75,0.63,0.00,0.38,0.69,0.25,0.0604766,,0.00E+00
1,2,3,3,1,2,0,0,,10,2,0.29,0.90,0.60,0.30,0.50,0.90,0.70,0.106649003,,1.60E-03
1,1,5,5,2,4,16,0,,,,,,,,,,,,,
1,3,3,2,1,1,2,0,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
1,1,2,2,1,3,14,0,,,,,1,2,3,2,1,1,0,,
1,2,4,4,1,1,2,0,,8,0,0.24,0.75,0.63,0.50,0.25,0.88,0.63,0.038488891,,2.90E-04
1,2,3,2,2,3,10,1,,16,1,0.47,0.75,0.63,0.38,0.38,0.69,0.25,0.0604766,,3.22E-04
1,2,3,2,1,2,4,1,,10,2,0.29,0.90,0.60,0.10,0.50,0.90,0.70,0.106649003,,5.34E-04
1,2,4,4,1,1,0,1,,,,,,,,,,,,,
3,3,2,2,1,1,4,1,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
1,1,3,3,1,3,2,1,,,,,1,1,4,3,1,1,0,,
2,2,4,3,1,2,2,1,,8,0,0.24,0.75,0.25,0.13,0.25,0.88,0.63,0.038488891,,2.90E-05
1,1,4,4,1,2,4,1,,16,1,0.47,0.75,0.25,0.38,0.38,0.69,0.25,0.0604766,,1.29E-04
1,3,2,3,1,2,6,1,,10,2,0.29,0.90,0.20,0.30,0.00,0.90,0.70,0.106649003,,0.00E+00
3,2,3,2,1,1,4,1,,,,,,,,,,,,,
1,1,1,3,1,3,4,1,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
2,2,4,4,2,4,0,1,,,,,2,1,5,1,1,1,0,,
1,1,2,2,1,2,2,1,,8,0,0.24,0.25,0.25,0.13,0.00,0.88,0.63,0.038488891,,0.00E+00
1,2,3,3,1,1,4,1,,16,1,0.47,0.13,0.25,0.00,0.00,0.69,0.25,0.0604766,,0.00E+00
1,2,4,5,5,5,16,1,,10,2,0.29,0.10,0.20,0.30,0.40,0.90,0.70,0.106649003,,4.74E-05
1,2,4,2,3,4,0,1,,,,,,,,,,,,,
1,2,3,3,2,2,2,1,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
1,3,2,2,1,1,2,2,,,,,1,3,4,3,1,1,2,,
1,2,4,2,1,2,10,2,,8,0,0.24,0.75,0.13,0.13,0.25,0.88,0.63,0.052587138,,1.98E-05
1,2,2,2,1,1,0,2,,16,1,0.47,0.75,0.13,0.38,0.38,0.69,0.25,0.086934915,,9.27E-05
1,2,5,1,1,1,0,2,,10,2,0.29,0.90,0.60,0.30,0.00,0.90,0.70,0.124804478,,0.00E+00
1,3,5,2,1,1,0,2,,,,,,,,,,,,,
1,2,4,1,1,1,0,2,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
1,1,4,2,1,1,0,2,,,,,2,3,4,3,1,1,7,,
1,2,5,1,1,3,2,2,,8,0,0.24,0.25,0.13,0.13,0.25,0.88,0.63,0.068207634,,8.57E-06
1,1,2,4,2,4,4,2,,16,1,0.47,0.13,0.13,0.38,0.38,0.69,0.25,0.074735114,,1.33E-05
2,2,3,1,1,1,0,2,,10,2,0.29,0.10,0.60,0.30,0.00,0.90,0.70,0.033126353,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,3,3,2,1,1,2,,
,,,,,,,,,8,0,0.24,0.75,0.13,0.50,0.25,0.88,0.63,0.052587138,,7.93E-05
,,,,,,,,,16,1,0.47,0.75,0.13,0.38,0.38,0.69,0.25,0.086934915,,9.27E-05
,,,,,,,,,10,2,0.29,0.90,0.60,0.10,0.50,0.90,0.70,0.124804478,,6.24E-04
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,1,3,1,1,1,8,,
,,,,,,,,,8,0,0.24,0.75,0.25,0.50,0.00,0.88,0.63,0.065719882,,0.00E+00
,,,,,,,,,16,1,0.47,0.75,0.25,0.38,0.00,0.69,0.25,0.0604766,,0.00E+00
,,,,,,,,,10,2,0.29,0.90,0.20,0.10,0.40,0.90,0.70,0.018921247,,2.52E-05
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,2,2,3,3,1,2,25,,
,,,,,,,,,8,0,0.24,0.25,0.63,0.50,0.25,0.88,0.13,0.000370092,,1.86E-07
,,,,,,,,,16,1,0.47,0.13,0.63,0.38,0.38,0.69,0.38,1.58E-07,,2.11E-10
,,,,,,,,,10,2,0.29,0.10,0.60,0.10,0.00,0.90,0.10,4.11E-13,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,1,4,3,2,4,8,,
