traveltime,studytime,freetime,goout,Dalc,Walc,absences,rating_G3,,,absences_0,,,absences_1,,,absences-2,,,,,sqrt(2pi),,,,,,,
2,1,5,1,1,1,0,0,,,mean,8,,mean,5.8125,,mean,1.909091,,pi,3.141592654,2.506628275,,,,,,,
1,3,3,2,1,1,2,0,,,sample variance,45.33333,,sample variance,47.22917,,sample variance,5.290909,,e,2.718281828,,,,,,,,
1,2,4,4,1,1,2,0,,,sqrt variance,6.733003045,,sqrt variance,6.872348216,,sqrt variance,2.3001976,,,,,,,,,,,
1,2,2,2,1,1,8,0,,,,,,,,,,,,,,,,,,,,,
2,2,3,3,2,2,14,0,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,1,3,14,0,,,(x-x_)^2,,,(x-x_)^2,,,(x-x_)^2,,absences,,P(abssence|0),,absences,,P(abssence|1),,absences,,P(abssence|2)
1,1,5,5,2,4,16,0,,,64,,,33.78515625,,,3.644628446,,6,-0.04411765,0.056694536,,6,-0.000372188,0.058028757,,6,-1.581536977,0.035669099
1,1,4,1,1,1,0,1,,,36,,,33.78515625,,,3.644628446,,4,-0.176470601,0.049666213,,4,-0.03477889,0.056066136,,4,-0.413152111,0.114740104
1,2,3,2,1,1,0,1,,,36,,,33.78515625,,,3.644628446,,10,-0.04411765,0.056694536,,10,-0.185639047,0.04821508,,10,-6.186347984,0.000356819
2,2,4,4,2,4,0,1,,,0,,,33.78515625,,,3.644628446,,2,-0.397058853,0.03983463,,2,-0.153879014,0.04977097,,2,-0.000781004,0.173302862
1,2,4,2,3,4,0,1,,,36,,,14.53515625,,,3.644628446,,4,-0.176470601,0.049666213,,4,-0.03477889,0.056066136,,4,-0.413152111,0.114740104
1,3,3,2,1,1,2,1,,,36,,,14.53515625,,,0.008264446,,10,-0.04411765,0.056694536,,10,-0.185639047,0.04821508,,10,-6.186347984,0.000356819
1,1,2,2,1,2,2,1,,,64,,,14.53515625,,,0.008264446,,0,-0.705882405,0.02925098,,0,-0.35767256,0.040594733,,0,-0.344423656,0.122903323
1,2,3,3,2,2,2,1,,,,,,3.28515625,,,0.008264446,,6,-0.04411765,0.056694536,,6,-0.000372188,0.058028757,,6,-1.581536977,0.035669099
3,2,3,2,1,1,4,1,,,,,,3.28515625,,,4.371900446,,0,-0.705882405,0.02925098,,0,-0.35767256,0.040594733,,0,-0.344423656,0.122903323
1,2,3,3,1,1,4,1,,,,,,3.28515625,,,4.371900446,,0,-0.705882405,0.02925098,,0,-0.35767256,0.040594733,,0,-0.344423656,0.122903323
1,1,1,3,1,3,4,1,,,,,,0.03515625,,,25.91735445,,0,-0.705882405,0.02925098,,0,-0.35767256,0.040594733,,0,-0.344423656,0.122903323
1,3,2,3,1,2,6,1,,,,,,4.78515625,,,,,4,-0.176470601,0.049666213,,4,-0.03477889,0.056066136,,4,-0.413152111,0.114740104
1,1,3,1,1,1,8,1,,,,,,4.78515625,,,,,2,-0.397058853,0.03983463,,2,-0.153879014,0.04977097,,2,-0.000781004,0.173302862
1,1,4,3,2,4,8,1,,,,,,38.28515625,,,,,2,-0.397058853,0.03983463,,2,-0.153879014,0.04977097,,2,-0.000781004,0.173302862
1,2,3,5,1,4,12,1,,,,,,103.7851563,,,,,0,-0.705882405,0.02925098,,0,-0.35767256,0.040594733,,0,-0.344423656,0.122903323
1,2,4,5,5,5,16,1,,,,,,368.1601563,,,,,4,-0.176470601,0.049666213,,4,-0.03477889,0.056066136,,4,-0.413152111,0.114740104
2,2,3,3,1,2,25,1,,,,,,,,,,,,,,,,,,,,,
2,2,3,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,
1,2,4,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,
1,1,4,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,
1,2,5,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,
1,1,4,3,1,1,0,2,,,,,,,,,,,,,,,,,,,,,
1,2,3,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,
1,3,4,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,
1,2,5,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,
1,4,2,2,1,1,4,2,,,,,,,,,,,,,,,,,,,,,
1,1,2,4,2,4,4,2,,,,,,,,,,,,,,,,,,,,,
2,3,4,3,1,1,7,2,,,,,,,,,,,,,,,,,,,,,
