traveltime,studytime,freetime,goout,Dalc,Walc,absences,rating_G3,,absences_0,,,absences_1,,,absences-2,,,pi,3.141592654,2.506628275,,,,,,,,,
2,2,3,4,1,1,6,0,,mean,5,,mean,5.533333333,,mean,2.454545455,,e,2.718281828,,,,,,,,,,
1,2,3,3,1,1,4,0,,sample variance,21.71428571,,sample variance,42.98095238,,sample variance,11.07272727,,,,,,,,,,,,,
2,2,1,4,1,1,6,0,,sqrt variance,4.65985898,,sqrt variance,6.555985996,,sqrt variance,3.327570777,,,,,,,,,,,,,
1,2,3,3,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,
2,1,5,1,1,1,0,0,,8,,,15,,,11,,,,,,,,,,,,,,
2,2,3,3,2,2,14,0,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,1,1,8,0,,,,,,,,,,,absences,,P(abssence|0),,,absences,,P(abssence|1),,absences,,P(abssence|2)
1,2,4,4,1,1,2,0,,6,1,,10,19.95111111,,2,0.20661157,,6,-0.023026316,0.083663704,,,6,-0.002533422,0.060697639,,6,-0.567622033,0.067962234
1,2,3,2,2,3,10,1,,4,1,,4,2.351111111,,10,56.9338843,,4,-0.023026316,0.083663704,,,4,-0.027350617,0.059209832,,4,-0.107851918,0.107632461
1,2,3,2,1,2,4,1,,6,1,,0,30.61777778,,0,6.024793388,,16,-2.786184211,0.005278528,,,16,-1.274414654,0.017013779,,16,-8.28519182,3.02E-05
1,2,4,4,1,1,0,1,,0,25,,4,2.351111111,,0,6.024793388,,4,-0.023026316,0.083663704,,,4,-0.027350617,0.059209832,,4,-0.107851918,0.107632461
3,3,2,2,1,1,4,1,,0,25,,2,12.48444444,,0,6.024793388,,0,-0.575657895,0.0481429,,,0,-0.356178447,0.042617279,,0,-0.272055531,0.091333594
1,1,3,3,1,3,2,1,,14,81,,2,12.48444444,,0,6.024793388,,0,-0.575657895,0.0481429,,,0,-0.356178447,0.042617279,,0,-0.272055531,0.091333594
2,2,4,3,1,2,2,1,,8,9,,4,2.351111111,,0,6.024793388,,2,-0.207236842,0.069588179,,,2,-0.145232292,0.05262577,,2,-0.009329751,0.118776604
1,1,4,4,1,2,4,1,,2,9,,0,30.61777778,,2,0.20661157,,0,-0.575657895,0.0481429,,,0,-0.356178447,0.042617279,,0,-0.272055531,0.091333594
1,2,3,2,1,1,0,1,,,,,2,12.48444444,,7,20.66115702,,2,-0.207236842,0.069588179,,,2,-0.145232292,0.05262577,,2,-0.009329751,0.118776604
1,3,3,2,1,1,2,1,,,,,8,6.084444444,,2,0.20661157,,14,-1.865131579,0.01325931,,,14,-0.833909447,0.026430768,,14,-6.019181967,0.000291531
1,1,3,1,1,1,8,1,,,,,25,378.9511111,,4,2.388429752,,2,-0.207236842,0.069588179,,,2,-0.145232292,0.05262577,,2,-0.009329751,0.118776604
2,2,3,3,1,2,25,1,,,,,8,6.084444444,,,,,4,-0.023026316,0.083663704,,,4,-0.027350617,0.059209832,,4,-0.107851918,0.107632461
1,1,4,3,2,4,8,1,,,,,0,30.61777778,,,,,4,-0.023026316,0.083663704,,,4,-0.027350617,0.059209832,,4,-0.107851918,0.107632461
1,1,4,1,1,1,0,1,,,,,12,41.81777778,,,,,16,-2.786184211,0.005278528,,,16,-1.274414654,0.017013779,,16,-8.28519182,3.02E-05
1,2,3,5,1,4,12,1,,,,,2,12.48444444,,,,,0,-0.575657895,0.0481429,,,0,-0.356178447,0.042617279,,0,-0.272055531,0.091333594
1,2,3,3,2,2,2,1,,,,,,,,,,,0,-0.575657895,0.0481429,,,0,-0.356178447,0.042617279,,0,-0.272055531,0.091333594
1,3,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,
1,2,4,2,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,
1,2,5,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,
1,3,5,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,
1,2,5,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,
1,1,4,3,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,
1,3,4,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,
2,3,4,3,1,1,7,2,,,,,,,,,,,,,,,,,,,,,,
1,2,3,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,
1,4,2,2,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,
