studytime,freetime,goout,Dalc,Walc,absences,rating_G3,,absences_0,,,absences_1,,,absences-2,,,pi,3.141592654,2.506628275,,,,,,,,,,
2,3,4,1,1,6,0,,mean,6.25,,mean,4,,mean,1.8,,e,2.718281828,,,,,,,,,,,
2,3,3,1,1,4,0,,sample variance,33.64285714,,sample variance,16.53333333,,sample variance,10.17777778,,,,,,,,,,,,,,
2,1,4,1,1,6,0,,sqrt variance,5.8002463,,sqrt variance,4.066120182,,sqrt variance,3.190262964,,,,,,,,,,,,,,
2,3,3,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,2,4,16,0,,8,,,16,,,10,,,,,,,,,,,,,,,
3,3,2,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,3,14,0,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,1,1,2,0,,6,0.0625,,10,36,,2,0.04,,absences,,P(abssence|0),,,absences,,P(abssence|1),,,absences,,P(abssence|2)
2,3,2,2,3,10,1,,4,5.0625,,4,0,,10,67.24,,0,-0.580546709,0.038488891,,,0,-0.483870968,0.0604766,,,0,-0.159170306,0.106649003
2,3,2,1,2,4,1,,6,0.0625,,0,16,,0,3.24,,0,-0.580546709,0.038488891,,,0,-0.483870968,0.0604766,,,0,-0.159170306,0.106649003
2,4,4,1,1,0,1,,0,39.0625,,4,0,,0,3.24,,0,-0.580546709,0.038488891,,,0,-0.483870968,0.0604766,,,0,-0.159170306,0.106649003
3,2,2,1,1,4,1,,16,95.0625,,2,4,,0,3.24,,0,-0.580546709,0.038488891,,,0,-0.483870968,0.0604766,,,0,-0.159170306,0.106649003
1,3,3,1,3,2,1,,2,18.0625,,2,4,,0,3.24,,2,-0.268444798,0.052587138,,,2,-0.120967742,0.086934915,,,2,-0.001965066,0.124804478
2,4,3,1,2,2,1,,14,60.0625,,4,0,,0,3.24,,7,-0.008359873,0.068207634,,,7,-0.272177419,0.074735114,,,7,-1.328384279,0.033126353
1,4,4,1,2,4,1,,2,18.0625,,6,4,,2,0.04,,2,-0.268444798,0.052587138,,,2,-0.120967742,0.086934915,,,2,-0.001965066,0.124804478
3,2,3,1,2,6,1,,,,,4,0,,4,4.84,,8,-0.045514862,0.065719882,,,8,-0.483870968,0.0604766,,,8,-1.888427947,0.018921247
2,3,2,1,1,4,1,,,,,4,0,,0,3.24,,25,-5.224920383,0.000370092,,,25,-13.33669355,1.58E-07,,,25,-26.44192139,4.11E-13
1,1,3,1,3,4,1,,,,,0,16,,,,,8,-0.045514862,0.065719882,,,8,-0.483870968,0.0604766,,,8,-1.888427947,0.018921247
2,4,4,2,4,0,1,,,,,2,4,,,,,2,-0.268444798,0.052587138,,,2,-0.120967742,0.086934915,,,2,-0.001965066,0.124804478
1,2,2,1,2,2,1,,,,,4,0,,,,,0,-0.580546709,0.038488891,,,0,-0.483870968,0.0604766,,,0,-0.159170306,0.106649003
2,3,3,1,1,4,1,,,,,16,144,,,,,14,-0.89264862,0.028170286,,,14,-3.024193549,0.004768033,,,14,-7.312008732,8.35E-05
2,4,5,5,5,16,1,,,,,0,16,,,,,8,-0.045514862,0.065719882,,,8,-0.483870968,0.0604766,,,8,-1.888427947,0.018921247
2,4,2,3,4,0,1,,,,,2,4,,,,,12,-0.491374735,0.042078698,,,12,-1.935483871,0.014163151,,,12,-5.11113537,0.000753955
2,3,3,2,2,2,1,,,,,,,,,,,4,-0.075238854,0.063795172,,,4,0,0.098113745,,,4,-0.237772926,0.098587105
3,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
2,4,2,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,
2,5,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,
3,5,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,
2,4,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,
2,5,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,
1,2,4,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2,3,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,
