,traveltime,studytime,freetime,goout,Dalc,Walc,absences,rating_G3,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
0,2,2,3,4,1,1,6,0,,,,,1,3,2,3,1,2,6,,
1,1,2,3,3,1,1,4,0,,8,0,0.24,0.50,0.00,0.13,0.38,0.88,0.25,0.083663704,,0
7,2,2,1,4,1,1,6,0,,15,1,0.44,0.80,0.13,0.07,0.33,0.80,0.33,0.060697639,,1.69266E-05
10,1,2,3,3,1,2,0,0,,11,2,0.32,0.91,0.36,0.27,0.36,1.00,0.09,0.067962234,,6.55329E-05
35,2,1,5,1,1,1,0,0,,,,,,,,,,,,,
44,2,2,3,3,2,2,14,0,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
45,1,2,2,2,1,1,8,0,,,,,3,2,3,2,1,1,4,,
49,1,2,4,4,1,1,2,0,,8,0,0.24,0.00,0.88,0.50,0.13,0.88,0.75,0.083663704,,0
2,1,2,3,2,2,3,10,1,,15,1,0.44,0.07,0.53,0.27,0.33,0.80,0.40,0.059209832,,2.64187E-05
4,1,2,3,2,1,2,4,1,,11,2,0.32,0.00,0.45,0.09,0.55,1.00,0.91,0.107632461,,0
6,1,2,4,4,1,1,0,1,,,,,,,,,,,,,
11,3,3,2,2,1,1,4,1,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
12,1,1,3,3,1,3,2,1,,,,,1,1,5,5,2,4,16,,
13,2,2,4,3,1,2,2,1,,8,0,0.24,0.50,0.13,0.13,0.00,0.13,0.00,0.005278528,,0
15,1,1,4,4,1,2,4,1,,15,1,0.44,0.80,0.33,0.00,0.07,0.20,0.13,0.017013779,,0
33,1,2,3,2,1,1,0,1,,11,2,0.32,0.91,0.09,0.27,0.00,0.00,0.00,3.02E-05,,0
38,1,3,3,2,1,1,2,1,,,,,,,,,,,,,
39,1,1,3,1,1,1,8,1,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
40,2,2,3,3,1,2,25,1,,,,,1,1,1,3,1,3,4,,
41,1,1,4,4,2,4,8,1,,8,0,0.24,0.50,0.13,0.13,0.38,0.88,0.00,0.083663704,,0
43,1,1,4,1,1,1,0,1,,15,1,0.44,0.80,0.33,0.00,0.27,0.80,0.13,0.059209832,,0
46,1,2,3,1,1,4,12,1,,11,2,0.32,0.91,0.09,0.00,0.36,1.00,0.00,0.107632461,,0
48,1,2,3,3,2,2,2,1,,,,,,,,,,,,,
3,1,3,2,2,1,1,2,2,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
5,1,2,4,2,1,2,10,2,,,,,1,2,4,1,1,1,0,,
8,1,2,2,2,1,1,0,2,,8,0,0.24,0.50,0.88,0.13,0.13,0.88,0.75,0.0481429,,5.08E-05
9,1,2,5,1,1,1,0,2,,15,1,0.44,0.80,0.53,0.33,0.20,0.80,0.40,0.042617279,,1.71E-04
14,1,3,5,2,1,1,0,2,,11,2,0.32,0.91,0.45,0.36,0.09,1.00,0.91,0.091333594,,3.67E-04
32,1,2,5,2,1,1,0,2,,,,,,,,,,,,,
34,1,1,4,3,1,1,0,2,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
36,1,3,4,3,1,1,2,2,,,,,1,1,4,2,1,1,0,,
37,2,3,4,3,1,1,7,2,,8,0,0.24,0.50,0.13,0.13,0.13,0.88,0.75,0.0481429,,7.26E-06
42,1,2,3,3,1,1,2,2,,15,1,0.44,0.80,0.33,0.33,0.33,0.80,0.40,0.042617279,,1.78E-04
47,1,4,2,2,1,1,4,2,,11,2,0.32,0.91,0.09,0.36,0.55,1.00,0.91,0.091333594,,4.40E-04
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,1,2,5,1,1,3,2,,
,,,,,,,,,,8,0,0.24,0.50,0.88,0.13,0.13,0.88,0.00,0.069588179,,0
,,,,,,,,,,15,1,0.44,0.80,0.53,0.00,0.33,0.80,0.13,0.05262577,,0
,,,,,,,,,,11,2,0.32,0.91,0.45,0.27,0.55,1.00,0.00,0.118776604,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,2,2,4,4,2,4,0,,
,,,,,,,,,,8,0,0.24,0.50,0.88,0.13,0.38,0.13,0.00,0.0481429,,0
,,,,,,,,,,15,1,0.44,0.13,0.53,0.33,0.20,0.20,0.13,0.042617279,,2.37691E-06
,,,,,,,,,,11,2,0.32,0.91,0.45,0.36,0.00,0.00,0.00,0.091333594,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,1,3,3,2,1,1,2,,
,,,,,,,,,,8,0,0.24,0.50,0.00,0.50,0.13,0.88,0.75,0.069588179,,0
,,,,,,,,,,15,1,0.44,0.80,0.13,0.27,0.33,0.80,0.40,0.05262577,,7.04E-05
,,,,,,,,,,11,2,0.32,0.91,0.36,0.09,0.55,1.00,0.91,0.118776604,,5.73E-04
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,1,1,2,2,1,3,14,,
,,,,,,,,,,8,0,0.24,0.50,0.13,0.13,0.13,0.88,0.00,0.01325931,,0.00E+00
,,,,,,,,,,15,1,0.44,0.80,0.33,0.07,0.33,0.80,0.13,0.026430768,,7.37E-06
,,,,,,,,,,11,2,0.32,0.91,0.09,0.27,0.55,1.00,0.00,0.000291531,,0.00E+00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,1,1,2,2,1,2,2,,
,,,,,,,,,,8,0,0.24,0.50,0.13,0.13,0.13,0.88,0.25,0.069588179,,3.50E-06
,,,,,,,,,,15,1,0.44,0.80,0.33,0.07,0.33,0.80,0.33,0.05262577,,3.67E-05
,,,,,,,,,,11,2,0.32,0.91,0.09,0.27,0.55,1.00,0.09,0.118776604,,4.29E-05
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,1,1,2,4,2,4,4,,
,,,,,,,,,,8,0,0.24,0.50,0.13,0.13,0.38,0.13,0.25,0.083663704,,1.80E-06
,,,,,,,,,,15,1,0.44,0.80,0.33,0.07,0.20,0.20,0.33,0.059209832,,6.19E-06
,,,,,,,,,,11,2,0.32,0.91,0.09,0.27,0.00,0.00,0.09,0.107632461,,0.00E+00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,1,2,3,3,1,1,4,,
,,,,,,,,,,8,0,0.24,0.50,0.88,0.50,0.38,0.88,0.75,0.083663704,,1.06E-03
,,,,,,,,,,15,1,0.44,0.80,0.53,0.27,0.33,0.80,0.40,0.059209832,,3.17E-04
,,,,,,,,,,11,2,0.32,0.91,0.45,0.09,0.36,1.00,0.91,0.107632461,,4.32E-04
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,1,2,4,5,5,5,16,,
,,,,,,,,,,8,0,0.24,0.50,0.88,0.13,0.00,0.00,0.00,0.005278528,,0.00E+00
,,,,,,,,,,15,1,0.44,0.80,0.53,0.33,0.07,0.00,0.00,0.017013779,,0.00E+00
,,,,,,,,,,11,2,0.32,0.91,0.45,0.36,0.00,0.00,0.00,3.02E-05,,0.00E+00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,1,2,4,2,3,4,0,,
,,,,,,,,,,8,0,0.24,0.50,0.88,0.13,0.13,0.00,0.25,0.0481429,,0.00E+00
,,,,,,,,,,15,1,0.44,0.80,0.53,0.33,0.33,0.00,0.33,0.042617279,,0.00E+00
,,,,,,,,,,11,2,0.32,0.91,0.45,0.36,0.55,0.00,0.09,0.091333594,,0.00E+00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,,2,2,3,1,1,1,0,,
,,,,,,,,,,8,0,0.24,0.50,0.88,0.50,0.38,0.88,0.75,0.0481429,,6.10E-04
,,,,,,,,,,15,1,0.44,0.13,0.53,0.27,0.33,0.80,0.40,0.042617279,,3.80E-05
,,,,,,,,,,11,2,0.32,0.91,0.45,0.09,0.36,1.00,0.91,0.091333594,,3.67E-04
